CustomerId,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,ContractLengthMonths,MultipleLines_No,MultipleLines_No phone service,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_No internet service,StreamingMovies_Yes,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,ChangedPlan,ChangedPlanPositive,ChangedPlanNegative,InternetServicesDensity,Complaint,HasComplaint,anger_score,TenureBin,MonthlyChargesBin,ServiceDensityBin,AngerBin,ChurnProbability,RiskCategory
7590-VHVEG,Female,0,Yes,0,1,0,1,29.85,29.85,0,1,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,0,0,0,0.1666666666666666,,0,0.0,0-12 Mo,Low,Very Low,Very Low,0.8853571,High Risk
5575-GNVDE,Male,0,No,0,34,1,0,56.95,1889.5,0,12,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,True,1,1,0,0.3333333333333333,,0,0.0,25-36 Mo,Low,Low,Very Low,0.11282654,Low Risk
3668-QPYBK,Male,0,No,0,2,1,1,53.85,108.15,1,1,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,1,0,1,0.3333333333333333,,0,0.0,0-12 Mo,Low,Low,Very Low,0.70211124,High Risk
7795-CFOCW,Male,0,No,0,45,0,0,42.3,1840.75,0,12,False,True,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,1,1,0,0.5,,0,0.0,37-48 Mo,Low,Medium,Very Low,0.119097926,Low Risk
9237-HQITU,Female,0,No,0,2,1,1,70.7,151.65,1,1,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,1,0,1,0.0,,0,0.0,0-12 Mo,Medium,,Very Low,0.89359426,High Risk
9305-CDSKC,Female,0,No,0,8,1,1,99.65,820.5,1,1,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,1,0,1,0.5,,0,0.0,0-12 Mo,Very High,Medium,Very Low,0.9497368,High Risk
1452-KIOVK,Male,0,No,1,22,1,1,89.1,1949.4,0,1,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,1,1,0,0.3333333333333333,,0,0.0,13-24 Mo,High,Low,Very Low,0.76505667,High Risk
6713-OKOMC,Female,0,No,0,10,0,0,29.75,301.9,0,1,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,1,0,1,0.1666666666666666,,0,0.0,0-12 Mo,Low,Very Low,Very Low,0.5431233,Medium Risk
7892-POOKP,Female,0,Yes,0,28,1,1,104.8,3046.05,1,1,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,1,0,1,0.6666666666666666,,0,0.0,25-36 Mo,Very High,High,Very Low,0.8476968,High Risk
6388-TABGU,Male,0,No,1,62,1,0,56.15,3487.95,0,12,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,1,0,1,0.3333333333333333,,0,0.0,61-72 Mo,Low,Low,Very Low,0.08214784,Low Risk
9763-GRSKD,Male,0,Yes,1,13,1,1,49.95,587.45,0,1,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,1,1,0,0.1666666666666666,,0,0.0,13-24 Mo,Low,Very Low,Very Low,0.49893096,Medium Risk
7469-LKBCI,Male,0,No,0,16,1,0,18.95,326.8,0,24,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,1,0,1,0.0,,0,0.0,13-24 Mo,Very Low,,Very Low,0.009594375,Low Risk
8091-TTVAX,Male,0,Yes,0,58,1,0,100.35,5681.1,0,12,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,1,1,0,0.5,,0,0.0,49-60 Mo,Very High,Medium,Very Low,0.542763,Medium Risk
0280-XJGEX,Male,0,No,0,49,1,1,103.7,5036.3,1,1,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,1,1,0,0.6666666666666666,,0,0.0,49-60 Mo,Very High,High,Very Low,0.7983786,High Risk
5129-JLPIS,Male,0,No,0,25,1,1,105.5,2686.05,0,1,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,1,0,1,0.8333333333333334,,0,0.0,25-36 Mo,Very High,Very High,Very Low,0.7739168,High Risk
3655-SNQYZ,Female,0,Yes,1,69,1,0,113.25,7895.15,0,24,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,1,0,1,1.0,,0,0.0,61-72 Mo,Very High,Very High,Very Low,0.15150495,Low Risk
8191-XWSZG,Female,0,No,0,52,1,0,20.65,1022.95,0,12,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,1,1,0,0.0,,0,0.0,49-60 Mo,Very Low,,Very Low,0.090119965,Low Risk
9959-WOFKT,Male,0,No,1,71,1,0,106.7,7382.25,0,24,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,1,1,0,0.6666666666666666,,0,0.0,61-72 Mo,Very High,High,Very Low,0.15473396,Low Risk
4190-MFLUW,Female,0,Yes,1,10,1,0,55.2,528.35,1,1,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,1,1,0,0.3333333333333333,,0,0.0,0-12 Mo,Low,Low,Very Low,0.45133287,Medium Risk
4183-MYFRB,Female,0,No,0,21,1,1,90.05,1862.9,0,1,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,1,1,0,0.5,,0,0.0,13-24 Mo,High,Medium,Very Low,0.8075094,High Risk
8779-QRDMV,Male,1,No,0,1,0,1,39.65,39.65,1,1,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,0,0,0,0.3333333333333333,,0,0.0,0-12 Mo,Low,Low,Very Low,0.93335724,High Risk
1680-VDCWW,Male,0,Yes,0,12,1,0,19.8,202.25,0,12,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,1,1,0,0.0,,0,0.0,0-12 Mo,Very Low,,Very Low,0.1220893,Low Risk
